year,state,value
2013,DE,12.9
2014,DE,10.8
2015,DE,10.8
2016,DE,10.8
1999,DE,7.3
2000,LA,13.2
2001,LA,13.2
2002,LA,11.8
2003,LA,11.8
2004,LA,11.8
2005,LA,11.7
2006,LA,11.7
2007,LA,11.7
2008,LA,12.6
2009,LA,12.6
2010,LA,12.6
2011,LA,16.5
2012,LA,16.5
2013,LA,16.5
2014,LA,18.3
2015,LA,18.3
2016,LA,18.3
1999,LA,13.2
2000,SC,11.3
2001,SC,11.3
2002,SC,14.8
2003,SC,14.8
2004,SC,14.8
2005,SC,13.1
2006,SC,13.1
2007,SC,13.1
2008,SC,14.8
2009,SC,14.8
2010,SC,14.8
2011,SC,14.1
2012,SC,14.1
2013,SC,14.1
2014,SC,13.0
2015,SC,13.0
2016,SC,13.0
1999,SC,11.3
2000,RI,8.7
2001,RI,8.7
2002,RI,12.1
2003,RI,12.1
2004,RI,12.1
2005,RI,10.9
2006,RI,10.9
2007,RI,10.9
2008,RI,14.7
2009,RI,14.7
2010,RI,14.7
2011,RI,14.4
2012,RI,14.4
2013,RI,14.4
2014,RI,12.8
2015,RI,12.8
2016,RI,12.8
1999,RI,8.7
2000,DC,9.8
2001,DC,9.8
2002,DC,10.2
2003,DC,10.2
2004,DC,10.2
2005,DC,11.9
2006,DC,11.9
2007,DC,11.9
2008,DC,13.0
2009,DC,13.0
2010,DC,13.0
2011,DC,13.4
2012,DC,13.4
2013,DC,13.4
2014,DC,11.4
2015,DC,11.4
2016,DC,11.4
1999,DC,9.8
2000,NC,11.1
2001,NC,11.1
2002,NC,13.8
2003,NC,13.8
2004,NC,13.8
2005,NC,12.6
2006,NC,12.6
2007,NC,12.6
2008,NC,15.7
2009,NC,15.7
2010,NC,15.7
2011,NC,17.3
2012,NC,17.3
2013,NC,17.3
2014,NC,15.1
2015,NC,15.1
2016,NC,15.1
1999,NC,11.1
2000,KS,11.3
2001,KS,11.3
2002,KS,12.3
2003,KS,12.3
2004,KS,12.3
2005,KS,13.0
2006,KS,13.0
2007,KS,13.0
2008,KS,14.5
2009,KS,14.5
2010,KS,14.5
2011,KS,15.2
2012,KS,15.2
2013,KS,15.2
2014,KS,14.5
2015,KS,14.5
2016,KS,14.5
1999,KS,11.3
2000,AL,11.9
2001,AL,11.9
2002,AL,12.2
2003,AL,12.2
2004,AL,12.2
2005,AL,11.9
2006,AL,11.9
2007,AL,11.9
2008,AL,17.3
2009,AL,17.3
2010,AL,17.3
2011,AL,16.7
2012,AL,16.7
2013,AL,16.7
2014,AL,18.1
2015,AL,18.1
2016,AL,18.1
1999,AL,11.9
2000,HI,10.8
2001,HI,10.8
2002,HI,8.5
2003,HI,8.5
2004,HI,8.5
2005,HI,8.4
2006,HI,8.4
2007,HI,8.4
2008,HI,13.1
2009,HI,13.1
2010,HI,13.1
2011,HI,12.9
2012,HI,12.9
2013,HI,12.9
2014,HI,8.7
2015,HI,8.7
2016,HI,8.7
1999,HI,10.8
2000,MS,13.1
2001,MS,13.1
2002,MS,15.8
2003,MS,15.8
2004,MS,15.8
2005,MS,17.4
2006,MS,17.4
2007,MS,17.4
2008,MS,19.4
2009,MS,19.4
2010,MS,19.4
2011,MS,21.1
2012,MS,21.1
2013,MS,21.1
2014,MS,18.7
2015,MS,18.7
2016,MS,18.7
1999,MS,13.1
2000,MI,8.1
2001,MI,8.1
2002,MI,11.3
2003,MI,11.3
2004,MI,11.3
2005,MI,11.8
2006,MI,11.8
2007,MI,11.8
2008,MI,14.7
2009,MI,14.7
2010,MI,14.7
2011,MI,13.9
2012,MI,13.9
2013,MI,13.9
2014,MI,14.3
2015,MI,14.3
2016,MI,14.3
1999,MI,8.1
2000,AK,11.1
2001,AK,11.1
2002,AK,11.7
2003,AK,11.7
2004,AK,11.7
2005,AK,12.4
2006,AK,12.4
2007,AK,12.4
2008,AK,13.6
2009,AK,13.6
2010,AK,13.6
2011,AK,11.8
2012,AK,11.8
2013,AK,11.8
2014,AK,12.7
2015,AK,12.7
2016,AK,12.7
1999,AK,11.1
2000,MO,8.6
2001,MO,8.6
2002,MO,11.3
2003,MO,11.3
2004,MO,11.3
2005,MO,12.9
2006,MO,12.9
2007,MO,12.9
2008,MO,15.8
2009,MO,15.8
2010,MO,15.8
2011,MO,16.9
2012,MO,16.9
2013,MO,16.9
2014,MO,14.2
2015,MO,14.2
2016,MO,14.2
1999,MO,8.6
2000,WY,9.9
2001,WY,9.9
2002,WY,11.0
2003,WY,11.0
2004,WY,11.0
2005,WY,9.9
2006,WY,9.9
2007,WY,9.9
2008,WY,11.6
2009,WY,11.6
2010,WY,11.6
2011,WY,14.6
2012,WY,14.6
2013,WY,14.6
2014,WY,12.7
2015,WY,12.7
2016,WY,12.7
1999,WY,9.9
2000,WV,10.3
2001,WV,10.3
2002,WV,8.8
2003,WV,8.8
2004,WV,8.8
2005,WV,10.7
2006,WV,10.7
2007,WV,10.7
2008,WV,14.1
2009,WV,14.1
2010,WV,14.1
2011,WV,14.4
2012,WV,14.4
2013,WV,14.4
2014,WV,14.9
2015,WV,14.9
2016,WV,14.9
1999,WV,10.3
2000,TN,11.8
2001,TN,11.8
2002,TN,11.5
2003,TN,11.5
2004,TN,11.5
2005,TN,12.8
2006,TN,12.8
2007,TN,12.8
2008,TN,15.0
2009,TN,15.0
2010,TN,15.0
2011,TN,17.4
2012,TN,17.4
2013,TN,17.4
2014,TN,13.4
2015,TN,13.4
2016,TN,13.4
1999,TN,11.8
2000,AZ,11.6
2001,AZ,11.6
2002,AZ,12.7
2003,AZ,12.7
2004,AZ,12.7
2005,AZ,12.0
2006,AZ,12.0
2007,AZ,12.0
2008,AZ,15.3
2009,AZ,15.3
2010,AZ,15.3
2011,AZ,15.6
2012,AZ,15.6
2013,AZ,15.6
2014,AZ,14.6
2015,AZ,14.6
2016,AZ,14.6
1999,AZ,11.6
2000,VA,7.6
2001,VA,7.6
2002,VA,8.5
2003,VA,8.5
2004,VA,8.5
2005,VA,8.0
2006,VA,8.0
2007,VA,8.0
2008,VA,9.6
2009,VA,9.6
2010,VA,9.6
2011,VA,9.5
2012,VA,9.5
2013,VA,9.5
2014,VA,9.9
2015,VA,9.9
2016,VA,9.9
1999,VA,7.6
2000,NH,6.5
2001,NH,6.5
2002,NH,6.4
2003,NH,6.4
2004,NH,6.4
2005,NH,7.7
2006,NH,7.7
2007,NH,7.7
2008,NH,9.6
2009,NH,9.6
2010,NH,9.6
2011,NH,10.2
2012,NH,10.2
2013,NH,10.2
2014,NH,9.6
2015,NH,9.6
2016,NH,9.6
1999,NH,6.5
2000,CT,6.8
2001,CT,6.8
2002,CT,8.6
2003,CT,8.6
2004,CT,8.6
2005,CT,8.8
2006,CT,8.8
2007,CT,8.8
2008,CT,12.7
2009,CT,12.7
2010,CT,12.7
2011,CT,13.4
2012,CT,13.4
2013,CT,13.4
2014,CT,12.3
2015,CT,12.3
2016,CT,12.3
1999,CT,6.8
2000,IL,9.2
2001,IL,9.2
2002,IL,9.0
2003,IL,9.0
2004,IL,9.0
2005,IL,9.5
2006,IL,9.5
2007,IL,9.5
2008,IL,12.9
2009,IL,12.9
2010,IL,12.9
2011,IL,12.5
2012,IL,12.5
2013,IL,12.5
2014,IL,11.1
2015,IL,11.1
2016,IL,11.1
1999,IL,9.2
2000,ND,8.5
2001,ND,8.5
2002,ND,6.3
2003,ND,6.3
2004,ND,6.3
2005,ND,6.5
2006,ND,6.5
2007,ND,6.5
2008,ND,7.1
2009,ND,7.1
2010,ND,7.1
2011,ND,8.7
2012,ND,8.7
2013,ND,8.7
2014,ND,8.8
2015,ND,8.8
2016,ND,8.8
1999,ND,8.5
2000,AR,12.8
2001,AR,12.8
2002,AR,14.8
2003,AR,14.8
2004,AR,14.8
2005,AR,14.4
2006,AR,14.4
2007,AR,14.4
2008,AR,18.6
2009,AR,18.6
2010,AR,18.6
2011,AR,21.2
2012,AR,21.2
2013,AR,21.2
2014,AR,17.5
2015,AR,17.5
2016,AR,17.5
1999,AR,12.8
2000,CO,8.6
2001,CO,8.6
2002,CO,11.3
2003,CO,11.3
2004,CO,11.3
2005,CO,11.0
2006,CO,11.0
2007,CO,11.0
2008,CO,13.4
2009,CO,13.4
2010,CO,13.4
2011,CO,13.9
2012,CO,13.9
2013,CO,13.9
2014,CO,10.3
2015,CO,10.3
2016,CO,10.3
1999,CO,8.6
2000,NE,9.9
2001,NE,9.9
2002,NE,10.7
2003,NE,10.7
2004,NE,10.7
2005,NE,9.5
2006,NE,9.5
2007,NE,9.5
2008,NE,12.7
2009,NE,12.7
2010,NE,12.7
2011,NE,13.8
2012,NE,13.8
2013,NE,13.8
2014,NE,14.7
2015,NE,14.7
